slice_type,slice_name,n,mdape,ppe10,ppe20,median_signed_pct_error,overvaluation_rate,undervaluation_rate,median_valuation_ratio,median_comp_count,median_comp_dispersion
neighborhood,HILLCREST,82,1.548992845207835,0.036585365853658534,0.06097560975609756,1.548992845207835,0.9512195121951219,0.012195121951219513,2.548992845207835,,
neighborhood,HARLEM-EAST,145,1.4254347602739725,0.06206896551724138,0.09655172413793103,1.4254347602739725,0.8482758620689655,0.0896551724137931,2.4254347602739728,,
neighborhood,CHINATOWN,48,1.2349961789772728,0.0,0.125,1.2349961789772728,0.8333333333333334,0.16666666666666666,2.2349961789772728,,
neighborhood,BEDFORD PARK/NORWOOD,131,1.0451820454545455,0.06870229007633588,0.17557251908396945,1.0451820454545455,0.8015267175572519,0.1297709923664122,2.0451820454545455,,
neighborhood,HARLEM-CENTRAL,494,0.9984663016222226,0.07692307692307693,0.13562753036437247,0.9984663016222226,0.7995951417004049,0.12348178137651822,1.9984663016222226,,
neighborhood,LONG ISLAND CITY,627,0.9960528376464843,0.03668261562998405,0.06698564593301436,-0.9192385079089506,0.06220095693779904,0.9011164274322169,0.08076149209104938,,
neighborhood,INWOOD,104,0.991391018811533,0.028846153846153848,0.04807692307692308,0.991391018811533,0.8846153846153846,0.08653846153846154,1.9913910188115331,,
neighborhood,RIVERDALE,804,0.8988202970332416,0.08582089552238806,0.14427860696517414,0.19467340228505842,0.5236318407960199,0.39054726368159204,1.1946734022850585,,
neighborhood,WASHINGTON HEIGHTS LOWER,88,0.8986924558756806,0.06818181818181818,0.125,0.889252471620227,0.6818181818181818,0.25,1.889252471620227,,
neighborhood,CLINTON,310,0.8069398611111112,0.06451612903225806,0.14838709677419354,0.41479755847953215,0.6096774193548387,0.3258064516129032,1.414797558479532,,
neighborhood,TRIBECA,679,0.7614231304347826,0.08100147275405008,0.14285714285714285,0.6220850681688301,0.678939617083947,0.24005891016200295,1.6220850681688301,,
neighborhood,HARLEM-WEST,32,0.7236581154617492,0.03125,0.0625,-0.2091158264003852,0.4375,0.53125,0.7908841735996148,,
borough_segment,2|ELEVATOR,1603,0.7053411931818182,0.10230817217716781,0.21023081721771678,0.37063872338077897,0.6213349968808484,0.27635683094198377,1.370638723380779,,
neighborhood,HARLEM-UPPER,113,0.6886116304347826,0.08849557522123894,0.168141592920354,0.5743498641304348,0.6194690265486725,0.2920353982300885,1.5743498641304348,,
neighborhood,UPPER WEST SIDE (79-96),921,0.6709532318598832,0.10857763300760044,0.18675352877307275,0.5858365,0.6666666666666666,0.2247557003257329,1.5858365,,
neighborhood,MIDTOWN WEST,678,0.6545407867778092,0.0943952802359882,0.18436578171091444,0.5924205016447368,0.6902654867256637,0.2153392330383481,1.592420501644737,,
neighborhood,MOTT HAVEN/PORT MORRIS,49,0.6482121060530265,0.12244897959183673,0.2857142857142857,0.6482121060530265,0.7755102040816326,0.10204081632653061,1.6482121060530266,,
neighborhood,EAST NEW YORK,512,0.611057997943061,0.134765625,0.24609375,0.6100209722222223,0.744140625,0.12109375,1.6100209722222223,,
borough_segment,1|WALKUP,1340,0.5935135566816817,0.09029850746268657,0.1761194029850746,0.41250539412313436,0.6216417910447761,0.2880597014925373,1.4125053941231343,,
borough_segment,5|SMALL_MULTI,15,0.5929387402088773,0.0,0.06666666666666667,0.4193622767857143,0.6,0.4,1.4193622767857144,,
neighborhood,BATHGATE,27,0.5792243421052632,0.1111111111111111,0.37037037037037035,0.5792243421052632,0.7037037037037037,0.18518518518518517,1.5792243421052632,,
neighborhood,FINANCIAL,334,0.5549883072453785,0.12275449101796407,0.2215568862275449,0.5445255279390422,0.7275449101796407,0.1497005988023952,1.544525527939042,,
neighborhood,UPPER EAST SIDE (96-110),44,0.5545350343746759,0.09090909090909091,0.11363636363636363,0.34924022569444446,0.5681818181818182,0.3409090909090909,1.3492402256944445,,
neighborhood,MANHATTAN VALLEY,221,0.5532207142857143,0.10407239819004525,0.2171945701357466,0.489875,0.669683257918552,0.22624434389140272,1.489875,,
neighborhood,UPPER WEST SIDE (59-79),1469,0.5499764187116565,0.08441116405718176,0.17767188563648742,0.32728704545454546,0.5990469707283866,0.31654186521443156,1.3272870454545453,,
neighborhood,UPPER EAST SIDE (59-79),1796,0.5396137999904256,0.10634743875278396,0.20657015590200445,0.3217143859265734,0.6108017817371938,0.2828507795100223,1.3217143859265734,,
borough_segment,1|ELEVATOR,13377,0.5268822115384615,0.10989010989010989,0.2151453988188682,0.30221954545454544,0.598041414367945,0.2920684757419451,1.3022195454545455,,
neighborhood,GREENWICH VILLAGE-WEST,558,0.5253677211181174,0.0913978494623656,0.17025089605734767,0.32952100325059097,0.6146953405017921,0.2939068100358423,1.329521003250591,,
borough,1,16334,0.5201880776515151,0.10946491979919187,0.21452185625076528,0.29056064612657306,0.5923227623362312,0.29821231786457697,1.290560646126573,,
borough_segment,5|ELEVATOR,203,0.5173306547619048,0.08374384236453201,0.15270935960591134,0.49726683673469385,0.7142857142857143,0.2019704433497537,1.497266836734694,,
neighborhood,UPPER EAST SIDE (79-96),1582,0.5154943267227966,0.12515802781289506,0.22882427307206069,0.2377969229452055,0.561314791403287,0.31352718078381797,1.2377969229452055,,
neighborhood,GREENWICH VILLAGE-CENTRAL,593,0.5118312828947369,0.07588532883642496,0.178752107925801,0.22108946666666668,0.5598650927487352,0.3642495784148398,1.2210894666666667,,
borough_segment,2|WALKUP,288,0.5111848913043477,0.11458333333333333,0.2326388888888889,0.3574462033166109,0.5972222222222222,0.2881944444444444,1.357446203316611,,
neighborhood,UPPER WEST SIDE (96-116),421,0.5110736082474227,0.11401425178147269,0.19714964370546317,0.4353201257861635,0.6579572446555819,0.22802850356294538,1.4353201257861634,,
neighborhood,ROOSEVELT ISLAND,44,0.5091611432349623,0.045454545454545456,0.11363636363636363,-0.2858580526676716,0.29545454545454547,0.6590909090909091,0.7141419473323284,,
neighborhood,WILLIAMSBURG-CENTRAL,77,0.50583765625,0.06493506493506493,0.18181818181818182,-0.1869195238095238,0.36363636363636365,0.5714285714285714,0.8130804761904762,,
neighborhood,HIGHBRIDGE/MORRIS HEIGHTS,85,0.4980698214285714,0.1411764705882353,0.2823529411764706,0.48275191326530614,0.788235294117647,0.07058823529411765,1.4827519132653062,,
neighborhood,SOHO,248,0.4978320301857585,0.125,0.2217741935483871,0.3091476208674345,0.5766129032258065,0.29838709677419356,1.3091476208674346,,
neighborhood,FASHION,70,0.4928928705246309,0.12857142857142856,0.21428571428571427,0.3309428863498014,0.6,0.2714285714285714,1.3309428863498014,,
neighborhood,CHELSEA,929,0.4804128308823529,0.1054897739504844,0.21743810548977396,0.22409930555555554,0.5651237890204521,0.3293864370290635,1.2240993055555556,,
neighborhood,OAKLAND GARDENS,393,0.480097593911122,0.058524173027989825,0.15012722646310434,-0.4619665625,0.04580152671755725,0.8956743002544529,0.5380334375,,
neighborhood,CIVIC CENTER,159,0.4794647619047619,0.14465408805031446,0.2389937106918239,0.3851852099236641,0.6163522012578616,0.2389937106918239,1.3851852099236641,,
property_segment,ELEVATOR,25783,0.47862564393939394,0.11848892681224063,0.2330993290152426,0.20339645833333334,0.5565682814257457,0.32494279176201374,1.2033964583333334,,
neighborhood,OCEAN PARKWAY-NORTH,465,0.47354395161290325,0.0967741935483871,0.23440860215053763,0.2905637878787879,0.6129032258064516,0.2903225806451613,1.290563787878788,,
neighborhood,LITTLE ITALY,45,0.4639662626262626,0.1111111111111111,0.2222222222222222,0.30603325,0.6,0.28888888888888886,1.30603325,,
neighborhood,ALPHABET CITY,125,0.46009328125,0.112,0.256,0.12241637931034483,0.52,0.368,1.1224163793103448,,
price_tier,entry,13024,0.45897853512664416,0.15241093366093367,0.2835534398034398,0.41690268750000004,0.6960227272727273,0.15156633906633907,1.4169026875,,
borough_segment,1|SMALL_MULTI,1348,0.4523765,0.1083086053412463,0.22403560830860533,0.15279890838206628,0.5259643916913946,0.36572700296735905,1.1527989083820662,,
neighborhood,GLEN OAKS,359,0.4483679861111111,0.09749303621169916,0.1615598885793872,-0.44026907552083333,0.03899721448467967,0.8635097493036211,0.5597309244791666,,
neighborhood,DOWNTOWN-FULTON MALL,248,0.4454181769369731,0.125,0.22580645161290322,0.1840926140857591,0.5443548387096774,0.33064516129032256,1.184092614085759,,
neighborhood,KIPS BAY,288,0.4443641596143174,0.14930555555555555,0.2465277777777778,0.18003580242966752,0.5347222222222222,0.3159722222222222,1.1800358024296673,,
borough_segment,4|ELEVATOR,6165,0.43647515625,0.13414436334144364,0.2543390105433901,0.09067966568057022,0.494566098945661,0.37128953771289536,1.0906796656805702,,
property_segment,WALKUP,5143,0.43314700374531834,0.11685786505930391,0.23254909585844838,-0.05971012544802867,0.4089053081858837,0.4742368267548124,0.9402898745519713,,
