group_type,group_name,n,ppe10,mdape,r2
segment,ELEVATOR,25783,0.11143001202342628,0.5065337382445141,0.27798731220014894
segment,SINGLE_FAMILY,25148,0.27493240019087006,0.19403174892072214,0.5636153644352383
segment,SMALL_MULTI,3018,0.13618290258449303,0.4080673380228011,0.32359304462615013
segment,WALKUP,5143,0.1427182578261715,0.3902247844827586,0.30156889378803287
price_tier,core,14512,0.22250551267916208,0.2970678573764307,-90.75096287873893
price_tier,entry,13024,0.10918304668304668,0.5499028041158537,-62.133514309117025
price_tier,luxury,16212,0.18270416975080186,0.2800676618479979,0.28733530697911625
price_tier,premium,15344,0.21630604796663191,0.24648955067920586,-40.85252548595814
