segment,period,feature,feature_type,baseline_scope,reference_n,current_n,missing_rate_train,missing_rate_test,psi,ks,cat_tvd,cat_unseen_rate,status
SINGLE_FAMILY,2023Q3,rate_regime_bucket,categorical,segment,103119,1911,0.0,0.0,,,0.6568139722068678,0.0,alert
SINGLE_FAMILY,2023Q4,days_since_2019_start,numeric,segment,103119,4546,0.0,0.0,11.512824495685441,1.0,,,alert
SINGLE_FAMILY,2023Q4,month_cos,numeric,segment,103119,4546,0.0,0.0,8.858799578444529,0.43068687632735,,,alert
SINGLE_FAMILY,2023Q4,month_sin,numeric,segment,103119,4546,0.0,0.0,8.787245607942204,0.696515676063577,,,alert
SINGLE_FAMILY,2023Q4,rate_regime_bucket,categorical,segment,103119,4546,0.0,0.0,,,0.6568139722068678,0.0,alert
SINGLE_FAMILY,2024Q1,days_since_2019_start,numeric,segment,103119,4111,0.0,0.0,11.512824495685441,1.0,,,alert
SINGLE_FAMILY,2024Q1,month_cos,numeric,segment,103119,4111,0.0,0.0,9.46990310520418,0.6580649540821769,,,alert
SINGLE_FAMILY,2024Q1,month_sin,numeric,segment,103119,4111,0.0,0.0,8.271066946765536,0.3957078714882805,,,alert
SINGLE_FAMILY,2024Q1,rate_regime_bucket,categorical,segment,103119,4111,0.0,0.0,,,1.0,1.0,alert
SINGLE_FAMILY,2024Q2,days_since_2019_start,numeric,segment,103119,4690,0.0,0.0,11.512824495685441,1.0,,,alert
