group_type,group_name,n,ppe10,mdape,r2
segment,ELEVATOR,25785,0.22854372697304634,0.22243876582278482,-0.09306368042410273
segment,SINGLE_FAMILY,25146,0.4585222301757735,0.10882137931034483,0.5888606510936569
segment,SMALL_MULTI,3018,0.2147117296222664,0.23805547317753287,0.42709052792224633
segment,WALKUP,5143,0.2247715341240521,0.23134285714285716,0.3931169550423549
price_tier,core,14509,0.44923840374939694,0.1133346195652174,-5.016746465366325
price_tier,entry,13026,0.22984799631506217,0.2130706698671338,-4.191209631704979
price_tier,luxury,16211,0.15884276108815001,0.3335226063829787,-0.1159285839810329
price_tier,premium,15346,0.46526782223380686,0.10650455525169487,-1.8567798103681836
