group_type,group_name,n,ppe10,mdape,r2
segment,ELEVATOR,25783,0.11848892681224063,0.47862564393939394,0.29019468203480236
segment,SINGLE_FAMILY,25148,0.2400986161921425,0.20771565942901438,0.5845484092368212
segment,SMALL_MULTI,3018,0.133532140490391,0.40757678888057114,0.2793762502264373
segment,WALKUP,5143,0.11685786505930391,0.43314700374531834,0.2952723351594304
price_tier,core,14512,0.18012679162072767,0.281324615965973,-65.942578417785
price_tier,entry,13024,0.15241093366093367,0.45897853512664416,-54.7142682391403
price_tier,luxury,16212,0.1642610412040464,0.3096074736251947,0.283018792687576
price_tier,premium,15344,0.18476277372262773,0.2750191461124615,-35.75429046729898
